CVE_DOC,CVE_ART,COSTO_UNITARIO,COSTO_TOTAL_CALCULADO
F37034,TUE00244,52.8,52.8
F37036,TUA00028,327.18,327.18
F37041,TP0007,177.68,1243.73
F37042,TP0001,38.96,38.96
F37043,BP00242,101.71,203.42
F37043,BP00243,49.41,98.82
F37044,RP00165,5323.76,5323.76
F37046,TP0001,38.96,116.88
F37048,TUE00207,517.89,517.89
F37049,TUE00207,517.89,517.89
F37050,TUE00207,517.89,517.89
F37051,TUE00207,0.0,586.32
F37052,TUE00207,0.0,586.32
F37053,BO00051,0.0,86.22
F37054,BC00023,0.0,742.05
F37058,PT00070,51.73,397.08
F37059,TP0011,124.0,248.0
F37060,PJ31C1F1AA00,0.0,425.69
F37061,WRE-2133,0.0,393.48
F37061,WRE-2774,0.0,530.41
F37061,WRE-4885,27.43,82.29
F37067,MR01934,147.76,443.27
F37068,PT00080,259.35,259.35
F37068,PT00081,332.65,332.65
F37069,RP00150,0.36,0.72
F37071,TUA00009,1081.89,3245.66
F37073,TP0011,124.0,620.0
F37073,TP0012,44.14,264.83
F37077,PT00044,489.39,978.77
F37078,BOBINA001,305.44,9163.18
F37083,TUE00247,295.24,1771.42
F37086,BOBINA001,305.44,9163.18
F37087,TUE00320,178.6,178.6
F37092,PJ31A1F1A400,68.95,689.45
F37092,PK31A1F1A400,78.32,783.24
F37095,RP00172,5.76,5.76
F37095,RP00173,45.01,45.01
F37097,BN00232,289.05,289.05
F37098,CBS00045,64.85,2594.17
F37100,MR01934,0.0,161.73
F37102,TUE00321,0.0,4527.42
F37103,TF71E1120A00,101.71,915.42
F37105,BO00052,0.0,819.14
F37107,TUA00404,0.0,3980.31
F37110,TEE00025,0.0,197.51
F37114,TUS00049,140.29,140.29
F37117,TUE00322,181.88,363.75
F37117,TUE00323,249.89,499.77
F37117,TUS00020,48.56,194.24
F37120,TUE00328,0.0,195.26
F37125,TUS00003,85.29,426.47
F37126,BB1 1/2X1/2-300W,220.0,220.0
F37128,TP0008,211.36,211.36
F37129,TUE00324,242.48,484.95
F37129,TUE00325,235.56,471.13
F37130,TUE00326,0.0,319.8
F37130,TUE00327,0.0,313.8
F37134,RB00010,44.7,178.8
F37138,P7J6C1D1A030,4.02,4.02
F37141,CS12E2040A00,69.23,138.46
F37142,CS12E2040A00,69.23,138.46
